Site,Level.x,Area,LOT,id,Unit,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes,BlankType,X,Y,Z,Spit,Level.y,Code,Phase
VB,NA,TRUE,LOT-321,I18-3172,I18,3172,Chert,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,Yes,Convergent,Triangular,Pointed,Straight,4,Bidirectional,4.23,9.06,8.53,8.76,4.03,26.25,6.83,8.04,162.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,NA,0,NA,ElongatedProd,118.4690018,126.0859985,23.91799927,6,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3106,I18,3106,Quartz,Fine,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Irregular,Feather,Curved,1,Unidirectional,4.7,17.22,12.05,15.35,8.14,18.86,3.88,9.61,131.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,Yes,NA,0,NA,Flake,118.2259979,126.4909973,23.94499969,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3105,I18,3105,Greywacke,NA,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Parallel,Triangular,Hinge,Straight,2,Unidirectional,6.51,15.83,11.77,15.69,13.8,26.89,4.43,9.01,113.6,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.1689987,126.3949966,23.94400024,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3070,I18,3070,Greywacke,Fine,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Triangular,Hinge,Straight,1,Unidirectional,10.13,31.39,22.4,30.51,24.9,25.23,9.85,22.18,122.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.7009964,126.4400024,23.99600029,4,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-321,I18-3064,I18,3064,Chalcedony,NA,Blank,NA,NA,NA,0%,NA,NA,Crushed,No,No,Convergent,Triangular,Hinge,Straight,2,Unidirectional,12.5,14.49,11.31,13.85,10.95,27.14,3.68,5.81,144.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,No,NA,0,NA,Flake,118.4530029,126.098999,23.97900009,4,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3114,I18,3114,Quartz,Medium,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Triangular,Pointed,Straight,2,Unidirectional,12.15,21.92,22.15,19.23,6.49,29.19,14.26,22.26,72.8,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.4400024,126.4499969,23.97100067,5,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3246,I18,3246,Quartz,Medium,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Irregular,Triangular,Hinge,Straight,2,Unidirectional,15.29,36.51,36.48,38.15,21.98,38.34,13.88,32.96,102.5,30.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.1539993,126.612999,23.83600044,8,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-3197,I18,3197,Chert,NA,RetouchedPiece,NA,Blank,NA,61-99%,Mesial,Indeterminate,Plain,No,No,Parallel,Triangular,Feather,Curved,1,Unidirectional,7.46,17.6,15.24,15.78,15.2,21.48,7.61,13.33,84.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,Retouched flake,0,NA,NA,118.947998,126.7860031,23.90099907,6,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-2827,I18,2827,Quartz,Coarse,Blank,NA,NA,NA,0%,NA,NA,Plain,No,No,Convergent,Triangular,Feather,Straight,2,Unidirectional,15.08,25.51,17.72,25.51,10.58,37.45,11.59,13.15,87.3,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.9729996,126.0169983,24.2140007,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-2838,I18,2838,Quartz,Fine,Core,NA,NA,NA,0%,NA,NA,NA,No,No,NA,NA,NA,NA,0,NA,17.59,27.57,28.39,27.53,22.44,33.27,18.3,27.9,94.2,22.4,SinglePlat,Circular,One,Plain,FlakingSurface,FlakingSurface,FlakingSurface,RandomRemoval,0%,2,Unidirectional,Parallel,34.34,27.54,27.38,27.29,17.24,58.9,Flakes,0%,1,NA,NA,Flakes,0%,1,NA,NA,Flakes,0%,1,NA,NA,Blades,NA,0,NA,NA,NA,NoReason,None,NA,NA,NA,0,Esquirolada,NA,118.0439987,126.0240021,24.14599991,2,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-3043,I18,3043,Quartz,Medium,Core,NA,NA,NA,31-60%,NA,Cobble,NA,No,No,NA,NA,NA,NA,0,NA,31.24,51.24,49.82,49.91,31.85,28.82,34.5,50.02,89.4,53.2,SinglePlat,Irregular,Two,Plain,RandomRemoval,RandomRemoval,FlakingSurface,Cortical,0%,4,Unidirectional,Parallel,29,16.27,16.27,12.43,6.64,79.1,Flakes,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0%,3,Unidirectional,Parallel,Flakes,NA,0,NA,NA,NA,NoReason,None,NA,NA,NA,0,NA,NA,118.6579971,126.2519989,23.99500084,4,5,LITHIC,Lower 5
VB,NA,TRUE,LOT-257,I18-2798,I18,2798,Greywacke,NA,Blank,NA,NA,NA,1-30%,RightLateral,Indeterminate,Plain,YesComplete,No,Irregular,Irregular,Feather,Straight,1,Unidirectional,13.22,41.03,34.61,40.85,14.71,33.33,11.41,33.97,133,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,Concretion,NA,No,NA,0,NA,Flake,118.8349991,126.4300003,24.18700027,1,5,LITHIC,Upper 5/4E
VB,NA,TRUE,LOT-257,I18-2720,I18,2720,Chert,NA,RetouchedPiece,NA,Blank,NA,0%,NA,NA,Plain,No,No,Irregular,Triangular,Feather,Straight,3,Bidirectional,5.45,23.75,22.02,21.3,7.91,28.93,5.79,18.94,93.7,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,None,NA,Yes,Retouched flake,0,NA,NA,118.7229996,126.9069977,24.16300011,1,5,LITHIC,Upper 5/4E
